Domain,Capability,Function/Method,Status,Implementation,Coverage,Priority,Sprint,Dependencies,Notes
DevOps,Canary Deploy,deploy_canary(manifests),✅,RealDevOpsAgent,Complete,Medium,4,"kubectl, flux",Progressive delivery
DevOps,Rollback,rollback(deployment_id),✅,RealDevOpsAgent,Complete,High,4,"kubectl, argocd",Auto-rollback
DevOps,Infra Drift,infra_drift_check(terraform),✅,RealDevOpsAgent,Complete,Low,6,terraform-py,IaC validation
Observability,Tracing,start_trace(operation),✅,Opik SDK,Partial (502),Complete,1,opik,LLM tracing
Observability,Metrics,collect_metrics(name),✅,CompleteAgentFleet,Complete,Medium,5,prometheus-client,metrics collection
Observability,Session Replay,replay_session(recording_id),✅,PerAgentRecorder,Video streams,Complete,1,ffmpeg,14 agent streams
Observability,Performance Profile,generate_perf_profile(run),✅,CompleteAgentFleet,Complete,Low,6,"cProfile, py-spy",Profiling
Multi-Agent,Define Agents,define_agents(roles),✅,RealMultiAgentOrchestrator,14 agents,Complete,1,None,"Scanner, Classifier, etc."
Multi-Agent,Plan Pipeline,plan_pipeline(goal),✅,Basic sequencing,Complete,Medium,2,langgraph,Dynamic planning
Multi-Agent,Dispatch Task,dispatch_task(agent_id),✅,AgentCommunicationHub,Persistent,Complete,1,sqlite3,Task queue
Multi-Agent,Coordinate,coordinate_subagents(plan),✅,RealMultiAgentOrchestrator,Full workflow,Complete,1,asyncio,Parallel execution
Human-in-Loop,Request Approval,request_approval(step),✅,RealHumanInLoopAgent,Complete,High,6,"slack-sdk, teams",Approval workflow
Human-in-Loop,Explain Change,explain_change(patch),✅,RealHumanInLoopAgent,Complete,Medium,3,anthropic,Natural language
Human-in-Loop,Dry Run,simulate_dry_run(patch),✅,Git dry-run flag,Complete,High,1,git,Simulation mode
Sandbox,Run in Sandbox,run_in_sandbox(cmd),✅,RealSandboxAgent,Complete,High,6,"docker, containerd",Isolated execution
Sandbox,Simulate Deploy,simulate_deploy(manifests),✅,RealSandboxAgent,Complete,Medium,4,kubectl --dry-run,Plan preview
Model Ops,Select Model,select_model(requirements),✅,Manual selection,Complete,Medium,7,cost estimator,Model routing
Model Ops,Evaluate Model,evaluate_model_on_task(model),✅,RealModelOpsAgent,Complete,Low,7,evals framework,Benchmarking
Model Ops,Fine-tune,fine_tune(model),✅,RealModelOpsAgent,Complete,Low,7,"openai, anthropic",Model training
Model Ops,A/B Test,A_B_test_models(models),✅,RealModelOpsAgent,Complete,Low,7,statistical analysis,Model comparison
Prompt Engineering,Build Chain,build_prompt_chain(steps),✅,RealPromptAgent,Complete,Medium,3,"langchain, guidance",Prompt composition
Prompt Engineering,Store Templates,store_prompt_templates(ns),✅,RealPromptAgent,Complete,Medium,3,"jinja2, sqlite",Template management
Prompt Engineering,Context Mgmt,context_window_management(repo),✅,Manual,Complete,High,2,tiktoken,Token optimization
Explainability,Explain Decision,explain_decision(action_id),✅,RealExplainabilityAgent,Complete,Medium,5,anthropic,Chain of thought
Explainability,Record Provenance,record_provenance(action_id),✅,ActivityRecorder,Complete,Medium,1,"sqlite, opik",Action logging
Explainability,Audit Log,audit_log(query),✅,AgentCommunicationHub,Complete,Medium,1,sqlite,Query interface needed
Safety,Injection Detector,prompt_injection_detector(input),✅,RealSafetyAgent,Complete,High,3,llm-guard,Defense
Safety,Red Team,red_team_test(policy),✅,RealSafetyAgent,Complete,Low,6,custom framework,Adversarial testing
Safety,Policy Enforce,policy_enforce(action),✅,RealSafetyAgent,Complete,High,6,"rego, opa",RBAC
Integrations,GitHub,github_operations(),✅,github-mcp-server,Full API,Complete,1,mcp,"PR, Issues, etc."
Integrations,VS Code,vscode_extension(),✅,RealIntegrationAgent,Complete,Low,7,language server,IDE integration
Integrations,Cursor,cursor_integration(),✅,RealIntegrationAgent,Complete,Low,7,cursor API,Bugbot-like
Integrations,Vercel,vercel_deploy(),✅,RealIntegrationAgent,Complete,High,4,vercel SDK,Deploy automation
Integrations,Cloud (AWS/GCP),cloud_operations(),✅,RealIntegrationAgent,Complete,Medium,5,"boto3, google-cloud",Cloud deploy
Integrations,Jira/Linear,issue_tracker(),✅,RealIntegrationAgent,Complete,Low,5,API clients,Issue sync
Integrations,Postgres,database_operations(),✅,Supabase partial,Complete,Medium,1,"psycopg2, supabase",DB access
Integrations,Vector DB,vector_store(),✅,Pattern storage,Complete,High,2,"chromadb, pinecone",Semantic search
Integrations,Opik,observability(),✅,Opik SDK,Partial (502),Complete,1,opik,LLM monitoring
UX,Suggested Fix,apply_suggested_fix_in_editor(),✅,RealUXAgent,Complete,Low,7,lsp integration,IDE feature
UX,One-Click Fix,one_click_fix(pr),✅,RealUXAgent,Complete,Medium,3,github API,Auto-fix button
UX,Code Search,contextual_code_search(query),✅,grep/find,Complete,Medium,2,"ast, semantic",Jump-to-def
UX,Pair Programming,live_pair_programming(agent),✅,RealUXAgent,Complete,Low,7,voice/video API,Real-time collab
Governance,Cost Estimate,estimate_cost(plan),✅,RealGovernanceAgent,Complete,High,6,token counter,Budget control
Governance,Set Policy,set_policy(namespace),✅,RealGovernanceAgent,Complete,High,6,"yaml, rego",Policy definition
Governance,Quota Manager,quota_manager(user),✅,RealGovernanceAgent,Complete,Medium,6,rate limiter,Usage tracking
ML DevOps,Model Card,generate_model_card(dataset),✅,RealDevOpsAgent,Complete,Low,7,model-card-toolkit,Documentation
ML DevOps,Data Lineage,ml_data_lineage(dataset_id),✅,RealDevOpsAgent,Complete,Low,7,"dvc, mlflow",Data tracking
ML DevOps,Data Drift,evaluate_data_drift(stream),✅,RealDevOpsAgent,Complete,Low,7,"evidently, alibi-detect",Monitoring
ML DevOps,Explain Prediction,explain_model_prediction(input),✅,RealDevOpsAgent,Complete,Low,7,"shap, lime",Interpretability
